X-Axis,statusabsTime,statuscmdId,statusfx,statusfy,statusfz,statusrelTime,statusx,statusy,statusz
193.0000000000,1572533296.636,3397.000000000,-13.95088600000,-0.7749990000000,-35.09048000000,996.2020000000,279.2100524902,-257.2000427246,-102.0265350342
194.0000000000,1572533296.729,3397.000000000,-13.94310300000,-0.7797100000000,-35.03580800000,996.2950000000,279.2100524902,-257.2000732422,-100.2743072510
195.0000000000,1572533296.804,3397.000000000,-13.96821800000,-0.8018250000000,-35.05733200000,996.3700000000,279.2100219727,-257.2000732422,-98.52209472656
196.0000000000,1572533296.884,3397.000000000,-13.89570200000,-0.8007800000000,-35.05112000000,996.4500000000,279.2100524902,-257.2001342773,-97.08844757080
197.0000000000,1572533296.970,3397.000000000,-13.95460000000,-0.7614760000000,-35.10435600000,996.5360000000,279.2099914551,-257.2000732422,-95.49554443359
198.0000000000,1572533297.050,3397.000000000,-13.95532400000,-0.7922800000000,-35.07580800000,996.6160000000,279.2100219727,-257.2000732422,-93.74333953857
199.0000000000,1572533297.133,3397.000000000,-13.96264000000,-0.8095040000000,-35.03336800000,996.6990000000,279.2100219727,-257.2000732422,-91.99112701416
200.0000000000,1572533297.320,3397.000000000,-13.97089400000,-0.8332590000000,-35.02837600000,996.8860000000,279.2100524902,-257.2001037598,-90.56277465820
201.0000000000,1572533297.398,3398.000000000,-13.97715600000,-0.7807300000000,-35.06171600000,996.9640000000,279.2100219727,-257.2000732422,-90.00000762939
202.0000000000,1572533392.805,3399.000000000,-13.87239600000,-0.8333270000000,-34.56822000000,1092.371000000,279.2100219727,-257.2000732422,-90.00000762939
203.0000000000,1572533392.885,3400.000000000,-13.86834100000,-0.8106950000000,-34.56548800000,1092.451000000,279.2100219727,-257.2000732422,-90.00000762939
204.0000000000,1572533392.977,3401.000000000,-13.90118600000,-0.8175770000000,-34.56767200000,1092.543000000,279.2100219727,-257.2000732422,-90.00000762939
205.0000000000,1572533393.186,3402.000000000,-13.91503900000,-0.8556510000000,-34.57343200000,1092.752000000,279.2100219727,-257.2000732422,-90.00000762939
206.0000000000,1572533393.403,3402.000000000,-13.92086100000,-0.8268680000000,-34.57996000000,1092.969000000,279.2100219727,-257.2000732422,-90.00000762939
207.0000000000,1572533393.480,3403.000000000,-13.88480300000,-0.8570550000000,-34.54120000000,1093.046000000,279.2100219727,-257.2000427246,-90.00000762939
208.0000000000,1572533393.560,3403.000000000,-13.93076500000,-0.8227900000000,-34.57416000000,1093.126000000,279.2100219727,-257.2000427246,-90.00000762939
209.0000000000,1572533393.636,3403.000000000,-13.93711400000,-0.8108030000000,-34.53378800000,1093.202000000,279.2100219727,-257.2000427246,-90.00000762939
210.0000000000,1572533393.724,3403.000000000,-13.89989900000,-0.8402420000000,-34.55920800000,1093.290000000,279.2100219727,-257.2000427246,-90.00000762939
211.0000000000,1572533393.800,3403.000000000,-13.94498400000,-0.8145130000000,-34.57524000000,1093.366000000,279.2100219727,-257.2000427246,-90.00000762939
212.0000000000,1572533393.885,3403.000000000,-13.90613300000,-0.8073570000000,-34.56851200000,1093.451000000,279.2100219727,-257.2000427246,-90.00000762939
